Row Labels,Average of target_runs
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",232.5
"Himachal Pradesh Cricket Association Stadium, Dharamsala",203
"Arun Jaitley Stadium, Delhi",200.0625
"M Chinnaswamy Stadium, Bengaluru",197.2142857
"Eden Gardens, Kolkata",196.625
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",191.2
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",189.3846154
Brabourne Stadium,181.4
"Barsapara Cricket Stadium, Guwahati",181
"Sawai Mansingh Stadium, Jaipur",180.5
"Brabourne Stadium, Mumbai",178.4117647
"Wankhede Stadium, Mumbai",178.1111111
Himachal Pradesh Cricket Association Stadium,176.6666667
Punjab Cricket Association IS Bindra Stadium,176.6
M.Chinnaswamy Stadium,174.9333333
"Narendra Modi Stadium, Ahmedabad",174.9166667
"Maharashtra Cricket Association Stadium, Pune",172.4615385
"Dr DY Patil Sports Academy, Mumbai",171.7
Saurashtra Cricket Association Stadium,169.9
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",169.5384615
Barabati Stadium,168.7142857
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",168.4
Maharashtra Cricket Association Stadium,167.4090909
M Chinnaswamy Stadium,167.34375
Wankhede Stadium,167.0273973
"MA Chidambaram Stadium, Chepauk",167.0208333
Arun Jaitley Stadium,166
"MA Chidambaram Stadium, Chepauk, Chennai",165.5357143
"Punjab Cricket Association IS Bindra Stadium, Mohali",165.0909091
Dubai International Cricket Stadium,164.7608696
"Punjab Cricket Association Stadium, Mohali",164.2857143
"Sardar Patel Stadium, Motera",164.1666667
Rajiv Gandhi International Stadium,163.6
Green Park,162.25
Feroz Shah Kotla,162.2033898
Holkar Cricket Stadium,161.3333333
Sharjah Cricket Stadium,160.0357143
"Zayed Cricket Stadium, Abu Dhabi",160
St George's Park,160
Sheikh Zayed Stadium,159.862069
De Beers Diamond Oval,159
Eden Gardens,157.7402597
Sawai Mansingh Stadium,156.9148936
SuperSport Park,155.9166667
"Rajiv Gandhi International Stadium, Uppal",154.8367347
MA Chidambaram Stadium,151.5555556
Subrata Roy Sahara Stadium,150.4375
"Vidarbha Cricket Association Stadium, Jamtha",150.3333333
JSCA International Stadium Complex,150
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,149
Nehru Stadium,148.4
Buffalo Park,148.3333333
Dr DY Patil Sports Academy,147.6470588
Shaheed Veer Narayan Singh International Stadium,147.3333333
Kingsmead,147
New Wanderers Stadium,145
OUTsurance Oval,136
Newlands,133.1428571
Grand Total,165.6840659
